Timestamp,Username,Real Name,Winner of the Week (5 Points),Bottom 3 of the Week (Pick #1) (2 Points),Bottom 3 of the Week (Pick #2) (2 Points),Bottom 3 of the Week (Pick #3) (2 Points),Eliminated Queen of the Week (of the bottom 3) (5 Points),Guess a Lip-sync Song performed this season (Guess #1) (5 Points),Guess a Lip-sync Song performed this season (Guess #2) (5 Points),Guess a Lip-sync Song performed this season (Guess #3) (5 Points)
1/10/2022 16:17:48,Poinhub,Nick P,Deja Skye,Jorgeous,Daya Betty,Lady Camden,Jorgeous,Girl on Fire - Alicia Keys,Woman - Doja Cat,Drivers License - Olivia Rodrigo
1/10/2022 17:01:57,Ball Enchilada,Nick K,Jasmine Kennedie,Daya Betty,Deja Skye,Lady Camden,Lady Camden,Girl on Fire - Alicia Keys,Don't Start Now - Dula Peep,Stupid Love - Lady Gaga 
1/10/2022 17:18:24,The Scorpio ♏️,Chris,Jasmine Kennedie,Daya Betty,Lady Camden,Jorgeous,Daya Betty,If I ain’t got you ,I willSurvive ,Juice 
1/11/2022 9:57:20,Logie,Logan,Deja Skye,Angeria Paris VanMichaels,Jasmine Kennedie,Lady Camden,Angeria Paris VanMichaels,My Head & My Heart by Ava Max,Girl on Fire by Alicia Keys,Just Dance by Lady Gaga
1/11/2022 15:56:52,MattMatt,Matt,Maddy Morphosis,Daya Betty,Jorgeous,Lady Camden,Jorgeous,Super Bass,34+35,Kiss Me More
1/11/2022 18:12:38,Jorge,Jorge,Daya Betty,Maddy Morphosis,Jorgeous,Jasmine Kennedie,Jasmine Kennedie,Rain on Me by Lady Gaga,Say So by Doja Cat,Physical by Dua Lipa
1/11/2022 19:45:49,Derek Berry,Derek,Jasmine Kennedie,Lady Camden,Deja Skye,Angeria Paris VanMichaels,Deja Skye,Malibu- Kim Petras ,WTP- Teyana Taylor,brutal- Olivia Rodrigo
1/11/2022 19:48:13,Miguelol,Miguel,Angeria Paris VanMichaels,Deja Skye,Lady Camden,Daya Betty,Deja Skye,This girl is on fire ,Levitating ,Bitch better have my money
1/11/2022 19:53:04,Jojo,Joey,Jorgeous,Deja Skye,Jasmine Kennedie,Maddy Morphosis,Deja Skye,Levitating - Dua,Free Woman - Gaga,No One - Alicia Keys
1/11/2022 21:02:14,edwin,Edwin,Lady Camden,Daya Betty,Deja Skye,Jorgeous,Daya Betty,Coconuts by Kim Petras ,No one Alicia Keys ,Kings & Queens by Ava Max
1/11/2022 21:25:29,Damian,Damian,Lady Camden,Jasmine Kennedie,Daya Betty,Angeria Paris VanMichaels,Daya Betty,I wanna dance with somebody,Proud mary,Sweet dreams (are made of this)
1/11/2022 22:53:38,Eric seeeeee,Eric,Jasmine Kennedie,Jorgeous,Daya Betty,Deja Skye,Jorgeous,Girl on your fire ,Free woman ,I’m coming out 
1/11/2022 23:19:14,Rawhul,Rahul,Jasmine Kennedie,Lady Camden,Angeria Paris VanMichaels,Jorgeous,Jorgeous,Easy on me: Adele,Levitating: Dua Lipa ,thats what I want - lil Nas x
1/11/2022 23:57:17,azkratie,Nick A,Angeria Paris VanMichaels,Lady Camden,Daya Betty,Deja Skye,Lady Camden,Girl on fire by alicia keys,sweet but psycho by ava max,good 4 u by olivia rodrigo
1/12/2022 6:13:38,thatonebitch aka t1b,Conor,Angeria Paris VanMichaels,Maddy Morphosis,Jorgeous,Deja Skye,Jorgeous,Levitating,Sweet but Psycho,Empire State of Mind
